Tabela de valores para implementação com 25 subintervalos
Tempo de execução = 0.000080000000 seg.

x;w;y;erro;Vel
0.000000000000;0.000000000000;0.000000000000;0.000000000000;1.995092539897
0.038461538462;0.034764401015;0.038461538462;0.003697137447;2.421361504146
0.076923076923;0.075307513877;0.076923076923;0.001615563046;2.909234017763
0.115384615385;0.115780386369;0.115384615385;0.000395770985;2.615074975612
0.153846153846;0.156472840154;0.153846153846;0.002626686308;1.790532135668
0.192307692308;0.194448971626;0.192307692308;0.002141279318;1.140987034084
0.230769230769;0.227552179627;0.230769230769;0.003217051143;1.222113796399
0.269230769231;0.266634913199;0.269230769231;0.002595856032;1.964509939864
0.307692307692;0.307330143124;0.307692307692;0.000362164568;2.733068946368
0.346153846154;0.347772541294;0.346153846154;0.001618695140;2.870302440086
0.384615384615;0.388379781474;0.384615384615;0.003764396859;2.258809640949
0.423076923077;0.428600932345;0.423076923077;0.005524009268;1.421711615693
0.461538461538;0.463252104096;0.461538461538;0.001713642558;1.075130635183
0.500000000000;0.498820923413;0.500000000000;0.001179076587;1.515560480687
0.538461538462;0.539269868982;0.538461538462;0.000808330520;2.366221358679
0.576923076923;0.579834814092;0.576923076923;0.002911737169;2.899388222265
0.615384615385;0.620294681910;0.615384615385;0.004910066525;2.658946430649
0.653846153846;0.660995867549;0.653846153846;0.007149713703;1.850589602294
0.692307692308;0.699393619933;0.692307692308;0.007085927626;1.165852432212
0.730769230769;0.732410745780;0.730769230769;0.001641515011;1.190515226160
0.769230769231;0.771145044775;0.769230769231;0.001914275544;1.903479408494
0.807692307692;0.811846579567;0.807692307692;0.004154271875;2.694816973302
0.846153846154;0.852297159161;0.846153846154;0.006143313007;2.887552898742
0.884615384615;0.892881724029;0.884615384615;0.008266339414;2.316805074908
0.923076923077;0.933236445863;0.923076923077;0.010159522786;1.470837976644
0.961538461538;0.968366826299;0.961538461538;0.006828364760;1.073361206896
1.000000000000;1.000000000000;1.000000000000;0.000000000000;1.071316696601
