Tabela de valores para implementação com 10 subintervalos
Tempo de execução = 0.000006000000 seg.

x_i;w_i;y_i;|e_a|;
0.000000000000;0.000000000000;0.000000000000;0.000000000000;
0.090909090909;0.075470952567;0.090909090909;0.015438138342;
0.181818181818;0.197758804166;0.181818181818;0.015940622348;
0.272727272727;0.240126060713;0.272727272727;0.032601212014;
0.363636363636;0.362267577333;0.363636363636;0.001368786303;
0.454545454545;0.482735177941;0.454545454545;0.028189723396;
0.545454545455;0.529838563256;0.545454545455;0.015615982198;
0.636363636364;0.651606162790;0.636363636364;0.015242526426;
0.727272727273;0.755420756451;0.727272727273;0.028148029179;
0.818181818182;0.830247281980;0.818181818182;0.012065463798;
0.909090909091;0.951169585667;0.909090909091;0.042078676576;
1.000000000000;1.000000000000;1.000000000000;0.000000000000;
