Tabela de valores para implementação em 2.8e-05s
t;x;U(x);exact_solution
0.008910891089;0.009900990099;0.006216963743;0.006220935426
0.008910891089;0.019801980198;0.068362548950;0.068377336067
0.008910891089;0.029702970297;0.130243652735;0.130269198078
0.008910891089;0.039603960396;0.191620869130;0.191657073869
0.008910891089;0.049504950495;0.252256741608;0.252303465673
0.008910891089;0.059405940594;0.311916681757;0.311973744384
0.008910891089;0.069306930693;0.370369876861;0.370437057283
0.008910891089;0.079207920792;0.427390182861;0.427467221172
0.008910891089;0.089108910891;0.482756999272;0.482843597424
0.008910891089;0.099009900990;0.536256122636;0.536351945599
0.008910891089;0.108910891089;0.587680575239;0.587785252292
0.008910891089;0.118811881188;0.636831405863;0.636944532032
0.008910891089;0.128712871287;0.683518459494;0.683639597114
0.008910891089;0.138613861386;0.727561112990;0.727689793404
0.008910891089;0.148514851485;0.768788973881;0.768924699249
0.008910891089;0.158415841584;0.807042539583;0.807184784810
0.008910891089;0.168316831683;0.842173814480;0.842322029248
0.008910891089;0.178217821782;0.874046882497;0.874200493390
0.008910891089;0.188118811881;0.902538432923;0.902696845652
0.008910891089;0.198019801980;0.927538237487;0.927700839183
0.008910891089;0.207920792079;0.948949576799;0.949115738388
0.008910891089;0.217821782178;0.966689614549;0.966858693184
0.008910891089;0.227722772277;0.980689717976;0.980861059524
0.008910891089;0.237623762376;0.990895723400;0.991068664975
0.008910891089;0.247524752475;0.997268145769;0.997442018293
0.008910891089;0.257425742574;0.999782331418;0.999956462212
0.008910891089;0.267326732673;0.998428553452;0.998602268838
0.008910891089;0.277227722772;0.993212049375;0.993384677281
0.008910891089;0.287128712871;0.984153000827;0.984323873390
0.008910891089;0.297029702970;0.971286455507;0.971454911654
0.008910891089;0.306930693069;0.954662191581;0.954827579588
0.008910891089;0.316831683168;0.934344525094;0.934506205107
0.008910891089;0.326732673267;0.910412061153;0.910569407663
0.008910891089;0.336633663366;0.882957389810;0.883109794074
0.008910891089;0.346534653465;0.852086727855;0.852233600251
0.008910891089;0.356435643564;0.817919507883;0.818060280190
0.008910891089;0.366336633663;0.780587916230;0.780722043828
0.008910891089;0.376237623762;0.740236381571;0.740363345546
0.008910891089;0.386138613861;0.697021016156;0.697140325308
0.008910891089;0.396039603960;0.651109011838;0.651220204584
0.008910891089;0.405940594059;0.602677993242;0.602780639399
0.008910891089;0.415841584158;0.551915330571;0.552009033020
0.008910891089;0.425742574257;0.499017414705;0.499101810930
